1024,970,831,709,633,624,459,355,270,610,420,300,205,637,452,339,243,699,570,480,396
983,913,768,647,576,577,411,309,225,566,374,258,165,593,410,300,202,651,525,439,354
980,911,768,646,567,571,409,308,224,558,366,252,159,584,399,291,196,643,515,430,348
973,906,764,642,563,569,406,306,221,555,363,250,157,581,395,289,194,640,514,430,347
974,903,760,642,563,570,408,309,226,557,365,253,162,583,397,291,197,641,515,432,352
975,905,765,650,573,573,412,312,228,560,370,259,168,586,403,296,201,643,520,437,356
978,910,772,658,579,584,422,323,237,569,380,268,175,595,414,307,211,651,529,447,366
976,907,771,657,582,580,420,322,238,568,381,271,180,594,413,307,211,651,529,446,364
976,908,772,659,583,583,421,322,238,571,383,271,180,597,415,308,212,652,529,447,366
975,909,775,663,586,583,422,324,240,570,383,271,179,597,416,309,214,653,531,447,366
982,919,794,683,597,590,432,332,247,577,390,278,185,603,423,316,219,660,538,456,376
991,927,791,701,717,583,429,332,249,570,388,278,188,601,424,315,223,663,535,450,373
994,928,790,700,717,584,429,331,249,570,386,277,188,600,421,312,221,662,535,449,371
994,922,776,695,726,583,428,332,251,570,386,275,186,599,423,315,225,660,534,447,371
999,927,780,697,724,591,436,337,254,578,393,280,188,607,430,319,227,667,544,458,381
999,929,785,699,721,589,437,340,258,575,394,283,192,604,430,322,231,665,541,455,379
998,927,783,697,723,588,435,337,255,574,392,282,193,603,428,319,228,663,539,453,377
988,923,781,692,710,600,469,382,308,574,394,281,189,593,425,322,235,647,530,449,379
985,929,774,686,712,617,518,471,432,581,401,283,184,595,426,321,233,644,525,446,377
983,927,782,696,714,616,518,518,532,581,403,289,195,596,423,320,233,647,522,443,372
990,944,797,702,708,633,555,633,718,592,422,315,217,600,428,325,232,643,522,445,374
986,943,802,708,694,634,561,647,737,594,433,330,235,602,431,327,234,642,518,441,368
983,938,797,705,687,634,561,647,738,595,432,330,235,603,430,325,232,642,515,438,366
984,944,806,711,687,638,567,656,748,598,434,331,234,605,435,327,230,645,518,440,368
983,940,804,710,686,639,569,659,751,599,435,333,235,606,436,329,232,646,520,443,370
986,928,799,703,651,646,576,674,764,620,501,536,569,620,467,374,282,647,524,449,369
985,926,811,725,685,664,592,682,763,649,569,651,721,647,527,464,405,658,533,456,377
975,929,812,727,698,668,582,676,758,653,568,648,712,650,525,457,389,657,531,455,376
976,926,803,717,686,666,583,678,762,653,568,647,710,650,526,456,389,658,531,454,376
977,930,809,719,680,669,589,685,767,654,570,655,722,652,530,462,396,660,531,453,373
977,927,803,716,677,669,588,688,769,655,575,667,739,654,535,471,407,662,533,453,370
974,920,800,711,661,642,585,688,776,644,592,705,797,658,588,641,690,675,541,451,371
970,920,800,715,677,645,586,691,780,645,586,698,792,660,583,634,684,677,541,451,368
961,917,798,711,671,649,587,684,766,643,589,696,779,653,606,691,760,667,539,453,376
959,915,794,708,667,644,585,686,766,639,594,700,779,651,610,700,770,666,540,453,375
957,915,796,709,665,642,584,684,765,637,592,699,780,650,610,699,768,666,538,452,374
966,915,791,701,657,610,588,692,775,613,617,732,814,642,632,732,806,682,586,523,461
973,914,785,691,646,609,584,686,777,605,624,748,841,636,652,768,857,685,654,720,781
978,915,785,686,635,608,586,693,784,600,630,758,853,628,660,781,872,677,661,731,793
978,920,788,689,639,607,593,697,786,595,635,756,850,620,668,780,865,664,672,738,792
977,921,791,696,651,614,599,701,789,599,635,755,848,622,667,777,861,664,669,737,792
973,925,806,716,682,622,609,699,783,607,641,750,835,629,677,773,845,672,686,745,790
981,940,823,734,710,649,615,699,785,631,632,741,830,650,670,762,835,689,700,752,792
982,943,829,735,713,664,612,685,771,648,627,732,824,665,665,753,828,701,701,748,788
983,945,835,743,702,694,606,661,740,686,607,697,786,703,637,713,789,734,685,712,748
988,946,834,736,706,688,605,658,733,682,605,687,775,699,632,704,780,729,679,708,749
981,940,838,744,698,684,585,553,562,679,616,716,804,696,655,741,814,726,667,645,630
969,941,832,742,682,655,502,396,308,658,631,748,835,678,652,750,820,697,575,491,409
974,934,826,735,683,632,472,370,284,650,615,718,796,675,639,721,781,696,573,492,409
985,940,828,731,672,640,475,371,284,657,607,707,784,679,626,706,766,698,574,491,405
